goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	   10000	     10399 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=10-10       	   10000	     10341 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2126	     51552 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2364	     50355 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    1962	     51407 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2168	     51199 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2374	     50357 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=50-10       	    2181	     51904 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    1196	    100514 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    1153	    101810 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    1047	    109876 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	     964	    113918 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    1203	    101549 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=100-10      	    1138	    101384 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	     220	    538302 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	     219	    560337 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	     214	    540404 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	     219	    545325 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	     218	    539071 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=500-10      	     219	    540839 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	     100	   1043388 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	      93	   1079794 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	     105	   1146856 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	      97	   1048319 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	     114	   1059681 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=5000_iterations=1000-10     	     114	   1048394 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	    6006	     19858 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	    5520	     19852 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	    5869	     19703 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	    5822	     20002 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	    5919	     20206 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=10-10      	    5931	     20603 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	    1072	    115939 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     957	    111896 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	     949	    117346 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	    1180	    103552 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	    1186	    103385 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=50-10      	    1228	    103638 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     544	    207420 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     513	    212702 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     561	    206212 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     548	    211427 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     524	    227578 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=100-10     	     524	    224367 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	      96	   1108268 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     109	   1124595 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	      91	   1119044 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	      93	   1101924 ns/op	       0 B/op	       0 allocs/op
