goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=5000_subset=5000-10     	      52	   2227606 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	      25	   4513790 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	      26	   4511335 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	      26	   4511082 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	      26	   4514248 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	      26	   4516471 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=5000-10    	      25	   4512293 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	    7184	     17025 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	    7021	     17021 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	    7186	     17009 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	    7052	     17004 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	    7087	     17009 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10000-10      	    6708	     16986 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	    1465	     81264 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	    1467	     81239 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	    1485	     81307 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	    1488	     81147 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10000-10      	    1492	     81287 ns/op	       0 B/op	       0 allocs/op
