goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkConcat-builder.txt,,assets/BenchmarkConcat-builder_pool.txt,,,,assets/BenchmarkConcat-join.txt,,,,assets/BenchmarkConcat-plus.txt,,,,assets/BenchmarkConcat-sprintf.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
,assets/BenchmarkConcat-builder.txt,,assets/BenchmarkConcat-builder_pool.txt,,,,assets/BenchmarkConcat-join.txt,,,,assets/BenchmarkConcat-plus.txt,,,,assets/BenchmarkConcat-sprintf.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Concat/size=10_iterations=10-10,5,0%,5,0%,~,p=1.000 n=10,10,0%,+100.00%,p=0.000 n=10,19,0%,+280.00%,p=0.000 n=10,29,0%,+480.00%,p=0.000 n=10
Concat/size=10_iterations=50-10,7,0%,7,0%,~,p=1.000 n=10,50,0%,+614.29%,p=0.000 n=10,99,0%,+1314.29%,p=0.000 n=10,149,0%,+2028.57%,p=0.000 n=10
Concat/size=10_iterations=100-10,8,0%,8,0%,~,p=1.000 n=10,100,0%,+1150.00%,p=0.000 n=10,199,0%,+2387.50%,p=0.000 n=10,299,0%,+3637.50%,p=0.000 n=10
Concat/size=10_iterations=500-10,13,0%,13,0%,~,p=1.000 n=10,500,0%,+3746.15%,p=0.000 n=10,999,0%,+7584.62%,p=0.000 n=10,1501,0%,+11446.15%,p=0.000 n=10
Concat/size=10_iterations=1000-10,16,0%,16,0%,~,p=1.000 n=10,1000,0%,+6150.00%,p=0.000 n=10,2000,0%,+12400.00%,p=0.000 n=10,3007,0%,+18693.75%,p=0.000 n=10
Concat/size=10_iterations=5000-10,21,0%,21,0%,~,p=1.000 n=10,5014,0%,+23776.19%,p=0.000 n=10,10033,0%,+47676.19%,p=0.000 n=10,15168.5,0%,+72130.95%,p=0.000 n=10
Concat/size=50_iterations=10-10,5,0%,5,0%,~,p=1.000 n=10,10,0%,+100.00%,p=0.000 n=10,19,0%,+280.00%,p=0.000 n=10,29,0%,+480.00%,p=0.000 n=10
Concat/size=50_iterations=50-10,9,0%,9,0%,~,p=1.000 n=10,50,0%,+455.56%,p=0.000 n=10,99,0%,+1000.00%,p=0.000 n=10,149,0%,+1555.56%,p=0.000 n=10
Concat/size=50_iterations=100-10,11,0%,11,0%,~,p=1.000 n=10,100,0%,+809.09%,p=0.000 n=10,199,0%,+1709.09%,p=0.000 n=10,299,0%,+2618.18%,p=0.000 n=10
Concat/size=50_iterations=500-10,17,0%,17,0%,~,p=1.000 n=10,500.5,0%,+2844.12%,p=0.000 n=10,1000,0%,+5782.35%,p=0.000 n=10,1508.5,0%,+8773.53%,p=0.000 n=10
Concat/size=50_iterations=1000-10,19,0%,19,0%,~,p=1.000 n=10,1004,0%,+5184.21%,p=0.000 n=10,2006,0%,+10457.89%,p=0.000 n=10,3383.5,0%,+17707.89%,p=0.000 n=10
Concat/size=50_iterations=5000-10,25,0%,26,0%,+4.00%,p=0.000 n=10,5046.5,0%,+20086.00%,p=0.000 n=10,10096.5,0%,+40286.00%,p=0.000 n=10,20592,0%,+82268.00%,p=0.000 n=10
Concat/size=100_iterations=10-10,6,0%,6,0%,~,p=1.000 n=10,10,0%,+66.67%,p=0.000 n=10,19,0%,+216.67%,p=0.000 n=10,29,0%,+383.33%,p=0.000 n=10
Concat/size=100_iterations=50-10,11,0%,11,0%,~,p=1.000 n=10,50,0%,+354.55%,p=0.000 n=10,99,0%,+800.00%,p=0.000 n=10,149,0%,+1254.55%,p=0.000 n=10
Concat/size=100_iterations=100-10,13,0%,13,0%,~,p=1.000 n=10,100,0%,+669.23%,p=0.000 n=10,199,0%,+1430.77%,p=0.000 n=10,300,0%,+2207.69%,p=0.000 n=10
Concat/size=100_iterations=500-10,18,0%,18,0%,~,p=1.000 n=10,501,0%,+2683.33%,p=0.000 n=10,1002,0%,+5466.67%,p=0.000 n=10,1711.5,0%,+9408.33%,p=0.000 n=10
Concat/size=100_iterations=1000-10,21,0%,21,0%,~,p=1.000 n=10,1005,0%,+4685.71%,p=0.000 n=10,2009,0%,+9466.67%,p=0.000 n=10,3829,0%,+18133.33%,p=0.000 n=10
Concat/size=100_iterations=5000-10,28,0%,30,0%,+7.14%,p=0.000 n=10,5085,0%,+18060.71%,p=0.000 n=10,10106,0%,+35992.86%,p=0.000 n=10,22125.5,0%,+78919.64%,p=0.000 n=10
Concat/size=500_iterations=10-10,7,0%,7,0%,~,p=1.000 n=10,10,0%,+42.86%,p=0.000 n=10,19,0%,+171.43%,p=0.000 n=10,29,0%,+314.29%,p=0.000 n=10
Concat/size=500_iterations=50-10,12,0%,12,0%,~,p=1.000 n=10,50,0%,+316.67%,p=0.000 n=10,99,0%,+725.00%,p=0.000 n=10,167,0%,+1291.67%,p=0.000 n=10
Concat/size=500_iterations=100-10,15,0%,15,0%,~,p=1.000 n=10,100,0%,+566.67%,p=0.000 n=10,199,1%,+1226.67%,p=0.000 n=10,386,1%,+2473.33%,p=0.000 n=10
Concat/size=500_iterations=500-10,21,0%,22,0%,+4.76%,p=0.000 n=10,506,0%,+2309.52%,p=0.000 n=10,1010.5,1%,+4711.90%,p=0.000 n=10,2249,1%,+10609.52%,p=0.000 n=10
Concat/size=500_iterations=1000-10,24,0%,26,0%,+8.33%,p=0.000 n=10,1019.5,0%,+4147.92%,p=0.000 n=10,2029.5,0%,+8356.25%,p=0.000 n=10,4771,0%,+19779.17%,p=0.000 n=10
Concat/size=500_iterations=5000-10,32,0%,34,0%,+6.25%,p=0.000 n=10,5161,1%,+16028.12%,p=0.000 n=10,10362.5,0%,+32282.81%,p=0.000 n=10,24811,0%,+77434.38%,p=0.000 n=10
Concat/size=1000_iterations=10-10,8,0%,8,0%,~,p=1.000 n=10,10,0%,+25.00%,p=0.000 n=10,19,0%,+137.50%,p=0.000 n=10,29,0%,+262.50%,p=0.000 n=10
Concat/size=1000_iterations=50-10,12,0%,12,0%,~,p=1.000 n=10,50,0%,+316.67%,p=0.000 n=10,99,0%,+725.00%,p=0.000 n=10,202,0%,+1583.33%,p=0.000 n=10
Concat/size=1000_iterations=100-10,16,0%,16,0%,~,p=1.000 n=10,100,0%,+525.00%,p=0.000 n=10,200,0%,+1150.00%,p=0.000 n=10,443,1%,+2668.75%,p=0.000 n=10
Concat/size=1000_iterations=500-10,22,0%,23.5,2%,+6.82%,p=0.000 n=10,507,0%,+2204.55%,p=0.000 n=10,1037,1%,+4613.64%,p=0.000 n=10,2513,0%,+11322.73%,p=0.000 n=10
Concat/size=1000_iterations=1000-10,26,0%,28,0%,+7.69%,p=0.000 n=10,1025.5,1%,+3844.23%,p=0.000 n=10,2027,0%,+7696.15%,p=0.000 n=10,5118.5,1%,+19586.54%,p=0.000 n=10
Concat/size=1000_iterations=5000-10,32,0%,34,0%,+6.25%,p=0.000 n=10,5159,0%,+16021.88%,p=0.000 n=10,10278,1%,+32018.75%,p=0.000 n=10,26046,0%,+81293.75%,p=0.000 n=10
geomean,14.021908423410116,,14.255707842864615,,+1.67%,,224.90904993888708,,+1503.98%,,444.8795178307535,,+3072.75%,,793.7073959557192,,+5560.48%,
