goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       108.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       108.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       106.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	 1000000	       123.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   96585	      1246 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   94971	      1248 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   96828	      1238 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   98544	      1238 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   98091	      1236 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=1000-10      	   96326	      1255 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8364	     14148 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8454	     13867 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8538	     14056 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8955	     14019 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8634	     14257 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    7478	     13871 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     284	    438235 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     295	    391577 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     296	    403651 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     273	    405885 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     342	    399120 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     291	    372440 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9229556	        12.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9835494	        12.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9816285	        12.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9352440	        12.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9968916	        12.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	10106822	        12.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       108.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       107.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       109.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       110.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       108.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   96151	      1323 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   86618	      1281 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   96998	      1241 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   98786	      1297 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   87549	      1309 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   91918	      1287 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7185	     15941 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7593	     15646 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7593	     16200 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7610	     16040 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7614	     15817 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7543	     15587 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     217	    566564 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     219	    547662 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     222	    565175 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     178	    620268 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     208	    560967 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     207	    588035 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	21.373s
