goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=256_length=10000-10     	    8528	     14356 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8365	     14384 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8530	     14356 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10000-10     	    8371	     14341 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     440	    272949 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     487	    255159 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     474	    254391 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     459	    256804 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     445	    303624 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100000-10    	     265	    467832 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 8924089	        12.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9667608	        12.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 8773051	        15.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 8055583	        13.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 9373413	        13.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10-10        	 8928460	        12.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       119.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       124.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       138.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	 1000000	       125.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	  861553	       123.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	  979058	       129.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   84876	      1432 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   85362	      1413 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   86775	      1383 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   89659	      1375 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   87462	      1350 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	   90626	      1328 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7129	     16251 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7754	     16196 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7035	     16184 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7770	     16381 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7748	     16264 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	    7512	     16345 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     256	    458778 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     249	    473351 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     262	    459657 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     244	    472502 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     291	    443149 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	     259	    465646 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	21.924s
