goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=512_length=10-10        	  956968	       129.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	   89745	      1286 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	   97269	      1228 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	   98461	      1282 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	   95293	      1238 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	   96243	      1290 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100-10       	   94651	      1363 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	    8458	     15092 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	    8000	     14985 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	    8036	     14713 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	    7971	     14647 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	    8304	     14824 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=1000-10      	    8461	     14227 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	     846	    143443 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	     834	    147958 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	     541	    232927 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	     762	    149280 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	     796	    146241 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=10000-10     	     830	    142898 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	      82	   1426280 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	      82	   1489835 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	      82	   1425170 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	      84	   1423620 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	      84	   1423108 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=512_length=100000-10    	      82	   1450047 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	22.315s
