goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=500000_subset=100-10    	     801	    131354 ns/op	 4005895 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	    1027	    118642 ns/op	 4005895 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	    1047	    112655 ns/op	 4005895 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	    1069	    109638 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	    1104	    105259 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	    1054	    104824 ns/op	 4005894 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     568	    237726 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     559	    217142 ns/op	 8003589 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     522	    229686 ns/op	 8003588 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     548	    207104 ns/op	 8003591 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     516	    225419 ns/op	 8003601 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=100-10   	     548	    202746 ns/op	 8003588 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  270493	       377.2 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  331380	       373.5 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  323413	       373.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  337678	       387.2 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=500-10        	  305210	       395.7 ns/op	    6784 B/op	       1 allocs/op
